Acx,Acy,Acz,Gx,Gy,Gz
-82.47805959732145,-294.13155821805987,-3903.01426957312,108.10204744192738,-104.92271219747215,-71.7485068719284
-81.23312159227015,-290.77128383780536,-3907.719257773661,109.82401552021852,-99.12390892671404,-76.14652230015241
-79.98818358721886,-287.4110094575507,-3912.424245974202,111.5459835985097,-93.32510565595594,-80.54453772837641
-81.41930889359642,-283.93285387661706,-3917.506002709918,111.14525308410046,-83.62249644143449,-84.84427493428569
-82.850434199974,-280.4546982956834,-3922.587759445633,110.74452256969124,-73.91988722691306,-89.144012140195
-86.53412202367561,-277.139772524992,-3927.266439265613,108.65446180621328,-62.790160037836955,-92.53321856575063
-90.21780984737721,-273.82484675430055,-3931.945119085594,106.56440104273528,-51.66043284876083,-95.9224249913063
-99.31700675869496,-268.2002806300524,-3939.3605553613506,100.3841309762582,-32.75498987601224,-99.60352838900609
-102.56572975206319,-266.26458757500757,-3941.870969254593,97.06437453336795,-28.015825054760253,-99.64112632865739
-105.81445274543141,-264.3288945199627,-3944.3813831478346,93.7446180904777,-23.27666023350825,-99.67872426830871
-105.22186932628107,-263.6381155498916,-3945.853842808429,90.84941546813882,-25.50933745245268,-98.18617094745495
-104.62928590713075,-262.94733657982056,-3947.326302469024,87.95421284579994,-27.742014671397094,-96.6936176266012
-91.04398778724413,-264.67715650778064,-3949.1788406525934,83.74431257963217,-47.98743880947085,-92.32115540559279
-76.46277263546008,-267.2956808548155,-3950.2446315029797,82.40446235111555,-65.29845882694075,-90.75276202463812
-61.88155748367608,-269.9142052018504,-3951.310422353365,81.06461212259896,-82.60947884441066,-89.18436864368346
-39.18352325929686,-274.32329215092625,-3953.2060133792975,80.07124085343948,-104.85932220796585,-89.81525531930136
-16.485489034917652,-278.7323791000021,-3955.101604405231,79.07786958428001,-127.10916557152105,-90.44614199491926
13.12468902648872,-284.7774643177345,-3958.33004384346,77.7231173343191,-150.91444965216698,-94.84138237120666
42.73486708789509,-290.82254953546686,-3961.55848328169,76.36836508435822,-174.71973373281293,-99.23662274749405
110.34933506360342,-305.48245380892206,-3971.0264228398205,71.3261182873067,-217.73989800970924,-118.02873439498038
144.46347429869326,-313.573410238552,-3977.0545846754717,66.97433009957312,-233.4089227473326,-133.0590495149284
178.5776135337831,-321.66436666818197,-3983.0827465111242,62.622541911839534,-249.077947484956,-148.08936463487646
208.5324855780212,-329.87039368036596,-3989.865277977629,56.1432787842171,-256.3705004943883,-168.60650988769981
238.48735762225925,-338.07642069254985,-3996.647809444135,49.664015656594685,-263.6630535038206,-189.1236551405232
281.5041236910927,-353.3229506351367,-4010.299362520923,32.90590734826523,-259.4110139361094,-239.1939563768687
291.2236134014817,-359.69227846441237,-4016.5103054815477,23.41963981309443,-248.47300632330303,-267.0673380722519
300.94310311187064,-366.061606293688,-4022.721248442173,13.933372277923635,-237.53499871049667,-294.9407197676352
297.1005462612045,-370.606792982521,-4027.9494213395174,4.598169495935387,-219.83918196588417,-323.50604445967906
293.25798941053836,-375.1519796713539,-4033.177594236861,-4.737033286052865,-202.1433652212717,-352.07136915172293
276.004973786144,-377.46239338666527,-4037.5329849062696,-12.427988718743224,-180.6869519213568,-379.0497658797257
258.7519581617496,-379.77280710197664,-4041.8883755756788,-20.11894415143359,-159.2305386214419,-406.0281626077285
201.59973794078303,-379.4918456295942,-4050.196655866261,-29.40231007380317,-115.30468679952499,-452.70908739799637
165.3830206755092,-376.887200594306,-4055.328397236293,-30.029306088723217,-95.63993013440223,-470.9069778394068
129.1663034102354,-374.2825555590181,-4060.460138606323,-30.656302103643263,-75.97517346927948,-489.1048682808172
89.95710031643247,-369.3874291098999,-4068.060720083219,-27.047030982609378,-60.40021726023825,-501.41867391504474
50.74789722262957,-364.4923026607817,-4075.6613015601147,-23.43775986157549,-44.82526105119703,-513.7324795492722
-24.02474770657452,-350.77537803114404,-4098.7976583876625,-9.162738974772369,-22.82129855308313,-526.7872518384695
-55.42075668611512,-342.3920515740583,-4115.484317164026,-0.15112656356958354,-15.5991298000129,-528.3899444257277
-86.81676566565572,-334.00872511697264,-4132.17097594039,8.860485847633203,-8.37696104694267,-529.9926370129857
-109.38196397941948,-324.60833040134344,-4154.449266125515,17.316904909748757,-3.2045363205320125,-528.0896480762169
-131.94716229318323,-315.2079356857142,-4176.72755631064,25.773323971864308,1.9678884058786448,-526.1866591394481
-144.58790544241032,-305.3320791631395,-4204.164763156208,30.80843778925153,7.204583778601557,-522.4605065599992
-157.2286485916374,-295.4562226405648,-4231.601970001778,35.843551606638755,12.441279151324467,-518.73435398055
-164.1514456315023,-275.8513163713054,-4293.98220880065,33.36520219747815,26.79388304917605,-510.8857983340432
-160.77831948770427,-266.659150482237,-4326.666800760871,23.492274551518324,37.01278884102724,-508.0448862462332
-157.40519334390626,-257.4669845931686,-4359.3513927210915,13.6193469055585,47.23169463287843,-505.20397415842314
-150.63307739859198,-249.39335074430068,-4390.717182745985,-6.33285420418298,60.51394963736153,-504.1848627808062
-143.8609614532777,-241.3197168954328,-4422.082972770878,-26.28505531392446,73.79620464184462,-503.16575140318906
-131.23285207344514,-228.3290545420121,-4476.289844675048,-86.8525646686188,104.3486477048771,-504.9982977779196
-128.95998571744863,-223.79599672669588,-4496.52997313127,-126.4437785362731,119.75640745328606,-507.3801145332645
-126.68711936145212,-219.2629389113796,-4516.770101587491,-166.0349924039274,135.16416720169502,-509.76193128860945
-131.17293533445178,-216.9648174949736,-4528.318389908626,-212.7635645031776,148.57692941797248,-512.7011237752031
-135.65875130745138,-214.66669607856758,-4539.8666782297605,-259.4921366024278,161.98969163424994,-515.6403162617968
-148.36743037069238,-214.72529349394574,-4541.968981183909,-310.3617968886515,171.64612197958974,-518.0004672875856
-161.07610943393337,-214.783890909324,-4544.071284138057,-361.2314571748751,181.3025523249296,-520.3606183133744
-203.09922563623604,-219.48637850449816,-4530.252622279164,-464.5059910619596,191.45339664444785,-521.6472419478818
-231.23414529685328,-223.8613856243386,-4515.8585804932345,-513.6542801055183,192.42647410818046,-519.6315334315574
-259.3690649574705,-228.236392744179,-4501.464538707307,-562.802569149077,193.39955157191312,-517.615824915233
-292.5181004387128,-234.1697257355076,-4481.919802402094,-606.771410627077,192.11392313969571,-512.326367149853
-325.6671359199552,-240.10305872683614,-4462.375066096884,-650.7402521050769,190.82829470747825,-507.03690938447306
-396.8168972182546,-253.8483249021283,-4418.433618089906,-724.7238098609424,189.61136696911697,-489.43452034541536
-432.22443529039737,-260.9660777746048,-4396.688868382744,-753.9883216052458,193.1501922711847,-477.22956435738763
-467.6319733625402,-268.0838306470813,-4374.944118675581,-783.2528333495493,196.6890175732524,-465.02460836935984
-500.6823054506469,-274.78356122100615,-4355.584891563245,-805.0568104406365,207.65304548627049,-449.77858543554686
-533.7326375387537,-281.48329179493106,-4336.225664450909,-826.8607875317233,218.61707339928864,-434.5325625017339
-562.9178641774123,-287.25090354117384,-4320.621235507672,-842.2970763198102,239.35480053278624,-416.7414540983864
-592.103090816071,-293.0185152874168,-4305.0168065644375,-857.7333651078967,260.09252766628384,-398.9503456950389
-641.3325501698869,-302.17545434039397,-4282.221046191347,-879.1153523510858,322.7832307961337,-359.29843497534927
-661.443782483606,-305.63944078360083,-4274.617268955832,-886.8812902856598,363.7534492936898,-337.8722915578686
-681.5550147973253,-309.1034272268075,-4267.013491720315,-894.6472282202337,404.72366779124593,-316.4461481403879
-697.85722960819,-311.8805776462468,-4262.131704035177,-901.20910941784,452.5702518236212,-293.73333187026003
-714.1594444190547,-314.6577280656862,-4257.249916350038,-907.7709906154463,500.4168358559964,-271.0205156001321
-741.3730180504512,-320.31302247709124,-4250.0577901128445,-921.3113657136096,601.6303967879107,-223.40562108475086
-753.5974019162022,-324.1311875177289,-4246.257950085304,-929.2972492022524,650.1793648091033,-198.60731547903927
-765.8217857819534,-327.9493525583667,-4242.458110057765,-937.2831326908953,698.7283328302957,-173.80900987332762
-777.9857420016976,-333.7444126638195,-4237.165744676706,-947.097734880504,740.4991930089883,-148.08240436503667
-790.149698221442,-339.5394727692723,-4231.8733792956455,-956.9123370701128,782.2700531876808,-122.35579885674568
-803.4442801090186,-348.1646160419339,-4224.14581673501,-968.8585098051857,813.4152713726785,-95.7619616904532
-816.7388619965953,-356.78975931459536,-4216.418254174374,-980.8046825402582,844.5604895576761,-69.16812452416072
-847.5337405978571,-380.8014902334198,-4194.9342090719465,-1009.1619457539086,880.8557254398938,-14.397501457036268
-865.7377267433154,-396.31117881559305,-4180.867803476147,-1025.5532957289388,885.4336241620572,13.702733874119444
-883.941712888774,-411.82086739776634,-4166.801397880348,-1041.944645703969,890.0115228842208,41.80296920527515
-905.3556528840655,-430.4771091694479,-4149.211411390617,-1060.4255825556193,882.2484556787023,70.57985195059257
-926.7695928793573,-449.13335094112944,-4131.621424900885,-1078.9065194072698,874.4853884731838,99.35673469590999
-976.162114097081,-491.1324274822202,-4088.898523655194,-1119.4759610304986,839.7370296553186,158.36281122133553
